epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,228.885,0.56268,0.704,0.42281,0.94949,0.91829,0.94584,0.9614,0.68538,0.88598,0.91401,0.92626,0.61215,0.79165,0.78014,0.5487,1.05906,0.0004745,0.0004745,0.0004745
96,231.321,0.58049,0.70793,0.41442,0.9562,0.94182,0.93203,0.96049,0.6709,0.9132,0.89726,0.92229,0.59976,0.81872,0.78245,0.55935,1.05434,0.00046625,0.00046625,0.00046625
97,233.698,0.6104,0.78207,0.4467,0.95354,0.93214,0.96394,0.9467,0.66859,0.8792,0.91187,0.8956,0.59345,0.84713,0.79855,0.54915,1.06444,0.000458,0.000458,0.000458
98,236.103,0.57122,0.78495,0.4143,0.94934,0.94773,0.97756,0.96482,0.6811,0.88976,0.92158,0.92129,0.63485,0.8623,0.77654,0.53841,1.08446,0.00044975,0.00044975,0.00044975
99,238.494,0.58189,0.72186,0.4578,0.95902,0.94448,0.97508,0.96959,0.69141,0.9233,0.95459,0.96393,0.64277,0.82454,0.76459,0.52146,1.06421,0.0004415,0.0004415,0.0004415
100,240.949,0.57699,0.73237,0.43698,0.95852,0.94713,0.97561,0.96711,0.70675,0.90956,0.95159,0.94694,0.64177,0.78552,0.7991,0.50584,1.04527,0.00043325,0.00043325,0.00043325
101,243.376,0.55959,0.66046,0.40672,0.97171,0.93662,0.97521,0.96971,0.72683,0.88981,0.94349,0.93549,0.64771,0.77554,0.82166,0.49181,1.02576,0.000425,0.000425,0.000425
102,245.809,0.53193,0.66154,0.40656,0.93209,0.95572,0.96256,0.96932,0.71259,0.94138,0.91278,0.94622,0.61912,0.77193,0.82028,0.49297,1.01777,0.00041675,0.00041675,0.00041675
103,248.216,0.56823,0.68587,0.42617,0.96692,0.93379,0.98395,0.96665,0.70702,0.93653,0.90681,0.94307,0.61657,0.7274,0.79743,0.50356,0.98761,0.0004085,0.0004085,0.0004085
104,250.612,0.52947,0.65879,0.3972,0.93981,0.9294,0.9859,0.96927,0.72419,0.91781,0.90248,0.93304,0.64197,0.68473,0.7878,0.48412,0.976,0.00040025,0.00040025,0.00040025
105,253.025,0.56944,0.73494,0.40808,0.95827,0.95104,0.95973,0.97481,0.71502,0.92003,0.90144,0.93093,0.63504,0.71638,0.80072,0.48206,0.99712,0.000392,0.000392,0.000392
106,255.409,0.54165,0.70728,0.39154,0.94532,0.93926,0.98104,0.9757,0.70199,0.88505,0.96039,0.94905,0.61201,0.73258,0.80179,0.48845,1.00914,0.00038375,0.00038375,0.00038375
107,257.798,0.54781,0.68511,0.41588,0.94432,0.94437,0.98202,0.96958,0.70408,0.90574,0.96433,0.95038,0.63027,0.74702,0.78463,0.49945,1.01133,0.0003755,0.0003755,0.0003755
108,260.187,0.53485,0.64541,0.4094,0.95582,0.95813,0.96246,0.95867,0.67277,0.94684,0.95144,0.94221,0.62133,0.75881,0.75417,0.51209,1.01741,0.00036725,0.00036725,0.00036725
109,262.575,0.52679,0.66692,0.39463,0.93401,0.95559,0.96079,0.95662,0.68927,0.94649,0.9329,0.95426,0.61799,0.75535,0.74085,0.52394,1.01447,0.000359,0.000359,0.000359
110,264.965,0.55467,0.64881,0.40671,0.95104,0.92817,0.94522,0.95165,0.67367,0.89237,0.88439,0.90704,0.60834,0.75981,0.7349,0.58822,1.0127,0.00035075,0.00035075,0.00035075
111,267.35,0.52759,0.70924,0.38279,0.93935,0.94682,0.95242,0.95372,0.67235,0.9121,0.89911,0.90718,0.61026,0.76838,0.72985,0.58362,1.03614,0.0003425,0.0003425,0.0003425
112,269.761,0.51918,0.61961,0.39164,0.94252,0.95543,0.96113,0.95615,0.67328,0.93346,0.94047,0.92953,0.62382,0.7701,0.72619,0.53694,1.05804,0.00033425,0.00033425,0.00033425
113,272.146,0.56031,0.69599,0.40243,0.95001,0.95686,0.9808,0.95611,0.6741,0.93569,0.96016,0.9307,0.62485,0.77607,0.73696,0.5148,1.06886,0.000326,0.000326,0.000326
114,274.529,0.51364,0.59583,0.38687,0.93582,0.93514,0.98942,0.95579,0.68135,0.87831,0.91203,0.90515,0.6218,0.78243,0.75763,0.53797,1.06312,0.00031775,0.00031775,0.00031775
115,276.915,0.53715,0.65572,0.38393,0.92771,0.936,0.96078,0.94735,0.68737,0.89003,0.92682,0.91633,0.61213,0.77957,0.76666,0.53741,1.05867,0.0003095,0.0003095,0.0003095
116,279.304,0.51253,0.59642,0.38111,0.92117,0.94301,0.94079,0.95122,0.66592,0.87865,0.85356,0.89091,0.58308,0.80539,0.80038,0.54289,1.08008,0.00030125,0.00030125,0.00030125
117,281.684,0.51651,0.61449,0.37532,0.93696,0.94821,0.95886,0.95111,0.66964,0.87217,0.88643,0.88255,0.58045,0.79567,0.8136,0.54214,1.08409,0.000293,0.000293,0.000293
118,284.091,0.51762,0.6252,0.39753,0.93214,0.94917,0.9669,0.95087,0.67414,0.89611,0.91495,0.91262,0.59734,0.77516,0.8029,0.51688,1.06354,0.00028475,0.00028475,0.00028475
119,286.496,0.51792,0.59627,0.37381,0.92982,0.95307,0.97654,0.95862,0.68199,0.87443,0.89411,0.88651,0.61058,0.77069,0.8001,0.50347,1.0631,0.0002765,0.0002765,0.0002765
120,288.902,0.48692,0.59562,0.34757,0.91195,0.9301,0.97687,0.96034,0.68703,0.9083,0.91891,0.92465,0.60527,0.77554,0.78188,0.49601,1.03683,0.00026825,0.00026825,0.00026825
121,291.3,0.56168,0.64725,0.38912,0.93779,0.93887,0.97775,0.96351,0.7011,0.8802,0.91646,0.91063,0.63027,0.76154,0.77977,0.48069,1.02707,0.00026,0.00026,0.00026
122,293.773,0.51569,0.61709,0.37473,0.94342,0.94766,0.96919,0.96403,0.69014,0.89535,0.91643,0.91731,0.62525,0.73503,0.78121,0.47092,1.01304,0.00025175,0.00025175,0.00025175
123,296.27,0.5309,0.60697,0.38092,0.93308,0.94721,0.96856,0.96218,0.6972,0.89452,0.91584,0.91932,0.62572,0.72544,0.78506,0.46942,1.00499,0.0002435,0.0002435,0.0002435
124,298.756,0.50839,0.6187,0.37421,0.93199,0.9527,0.96821,0.95815,0.69328,0.90349,0.91437,0.91046,0.63544,0.73434,0.78687,0.47667,1.0132,0.00023525,0.00023525,0.00023525
125,301.147,0.52835,0.64986,0.38828,0.94131,0.92962,0.94689,0.93741,0.68472,0.9259,0.9149,0.91126,0.63645,0.71794,0.78147,0.4781,1.00003,0.000227,0.000227,0.000227
